index	rom_offset	pointer	pointer_rom_offset	script_id
55	0xF2178	0x080F24BC	0xF24BC	655
56	0xF2180	0x080F2414	0xF2414	780
57	0xF2188	0x080F245C	0xF245C	0
58	0xF2190	0x080F2414	0xF2414	180
59	0xF2198	0x080F2468	0xF2468	227
60	0xF21A0	0x080F2474	0xF2474	251
61	0xF21A8	0x080F2480	0xF2480	600
62	0xF21B0	0x080F248C	0xF248C	625
63	0xF21B8	0x080F24BC	0xF24BC	672
64	0xF21C0	0x080F2414	0xF2414	780
65	0xF21C8	0x080F245C	0xF245C	0
66	0xF21D0	0x080F2414	0xF2414	420
67	0xF21D8	0x080F2468	0xF2468	467
68	0xF21E0	0x080F24C8	0xF24C8	486
69	0xF21E8	0x080F24D4	0xF24D4	600
70	0xF21F0	0x080F24E0	0xF24E0	620
71	0xF21F8	0x080F24BC	0xF24BC	667
72	0xF2200	0x080F2414	0xF2414	780
73	0xF2208	0x080F245C	0xF245C	0
74	0xF2210	0x080F24EC	0xF24EC	300
75	0xF2218	0x080F24F8	0xF24F8	720
76	0xF2220	0x080F24EC	0xF24EC	840
77	0xF2228	0x080F2504	0xF2504	0
78	0xF2230	0x080F24EC	0xF24EC	180
79	0xF2238	0x080F2414	0xF2414	720
80	0xF2240	0x080F24EC	0xF24EC	840
81	0xF2248	0x080F2504	0xF2504	0
82	0xF2250	0x080F24EC	0xF24EC	300
83	0xF2258	0x080F24F8	0xF24F8	720
84	0xF2260	0x080F24EC	0xF24EC	840
85	0xF2268	0x080F2504	0xF2504	0
86	0xF2270	0x080F24EC	0xF24EC	300
87	0xF2278	0x080F24F8	0xF24F8	720
88	0xF2280	0x080F24EC	0xF24EC	840
89	0xF2288	0x080F2504	0xF2504	0
90	0xF2290	0x080F24EC	0xF24EC	180
91	0xF2298	0x080F2414	0xF2414	720
92	0xF22A0	0x080F24EC	0xF24EC	840
93	0xF22A8	0x080F2504	0xF2504	0
94	0xF22B0	0x080F24EC	0xF24EC	300
95	0xF22B8	0x080F24F8	0xF24F8	720
96	0xF22C0	0x080F24EC	0xF24EC	840
97	0xF22C8	0x080F2504	0xF2504	0
98	0xF22D0	0x080F24EC	0xF24EC	300
99	0xF22D8	0x080F24F8	0xF24F8	720
100	0xF22E0	0x080F24EC	0xF24EC	840
101	0xF22E8	0x080F2504	0xF2504	0
102	0xF22F0	0x080F24EC	0xF24EC	300
103	0xF22F8	0x080F24F8	0xF24F8	720
104	0xF2300	0x080F24EC	0xF24EC	840
105	0xF2308	0x080F2504	0xF2504	0
106	0xF2310	0x080F24EC	0xF24EC	300
107	0xF2318	0x080F24F8	0xF24F8	720
108	0xF2320	0x080F24EC	0xF24EC	840
109	0xF2328	0x080F2504	0xF2504	0
110	0xF2330	0x080F24EC	0xF24EC	300
111	0xF2338	0x080F24F8	0xF24F8	720
112	0xF2340	0x080F24EC	0xF24EC	840
113	0xF2348	0x080F2504	0xF2504	0
114	0xF2350	0x080F2414	0xF2414	0
115	0xF2358	0x080F2414	0xF2414	240
116	0xF2360	0x080F2528	0xF2528	250
117	0xF2368	0x080F2510	0xF2510	300
118	0xF2370	0x080F251C	0xF251C	310
119	0xF2378	0x080F2414	0xF2414	0
120	0xF2380	0x080F2528	0xF2528	10
121	0xF2388	0x080F2510	0xF2510	60
122	0xF2390	0x080F251C	0xF251C	70
123	0xF2398	0x080F2414	0xF2414	0
124	0xF23A0	0x080F2414	0xF2414	0
125	0xF23A8	0x080F2414	0xF2414	120
126	0xF23B0	0x080F2468	0xF2468	167
127	0xF23B8	0x080F24C8	0xF24C8	186
128	0xF23C0	0x080F24D4	0xF24D4	240
129	0xF23C8	0x080F24E0	0xF24E0	260
130	0xF23D0	0x080F24BC	0xF24BC	307
131	0xF23D8	0x080F2414	0xF2414	780
132	0xF23E0	0x080F245C	0xF245C	0
133	0xF23E8	0x080F2414	0xF2414	780
134	0xF23F0	0x080F245C	0xF245C	0
135	0xF23F8	0x080F24EC	0xF24EC	300
136	0xF2400	0x080F24F8	0xF24F8	720
137	0xF2408	0x080F2534	0xF2534	0
138	0xF2410	0x080F2504	0xF2504	135210304
139	0xF2418	0x00A80002		269090920
140	0xF2420	0x080F2550	0xF2550	37486597
141	0xF2428	0x000700E3		135210360
142	0xF2430	0x04B00008		528
143	0xF2438	0x080F25B8	0xF25B8	64487428
144	0xF2440	0x100001A0	0x80001A0	135210456
145	0xF2448	0x03D80008		416
146	0xF2450	0x080F2618	0xF2618	53215237
147	0xF2458	0x00070200		135210560
148	0xF2460	0x00A80002		269156424
149	0xF2468	0x080F2650	0xF2650	37486599
150	0xF2470	0x000700E3		135210632
151	0xF2478	0x04EC0005		328384
152	0xF2480	0x080F26B0	0xF26B0	16252930
153	0xF2488	0x100C0058	0x80C0058	135210688
154	0xF2490	0x04D00005		327836
155	0xF2498	0x080F26E8	0xF26E8	14417922
156	0xF24A0	0x00060000		135210744
157	0xF24A8	0x01180002		268829024
158	0xF24B0	0x080F2708	0xF2708	18350082
159	0xF24B8	0x00060160		135210776
160	0xF24C0	0x04F80007		458752
161	0xF24C8	0x080F2750	0xF2750	5
162	0xF24D0	0x00010118		0
163	0xF24D8	0x01000000		201392360
164	0xF24E0	0x080F2778	0xF2778	16777221
165	0xF24E8	0x000100E8		135210912
166	0xF24F0	0x01000004		270336152
167	0xF24F8	0x080F27C0	0xF27C0	7340036
168	0xF2500	0x101D004C	0x81D004C	0
169	0xF2508	0x01B80000		1966032
170	0xF2510	0x00000000		14942208
171	0xF2518	0x04020091		135210976
172	0xF2520	0x00E40002		131217
173	0xF2528	0x080F27F0	0xF27F0	22282242
174	0xF2530	0x00020000		0
175	0xF2538	0x00000000		104071168
176	0xF2540	0x000200E0		196728
177	0xF2548	0x000200A8		131192
178	0xF2550	0x00F80001		1
179	0xF2558	0x01D80005		0
180	0xF2560	0x00980009		1
181	0xF2568	0x032C0017		0
182	0xF2570	0x02200026		1
183	0xF2578	0x04980001		0
184	0xF2580	0x02000002		1
185	0xF2588	0x04880003		0
186	0xF2590	0x01F00004		1
187	0xF2598	0x04780005		0
188	0xF25A0	0x01E00006		1
189	0xF25A8	0x03D8000C		0
190	0xF25B0	0x01A0000F		1
191	0xF25B8	0x000203B0		0
192	0xF25C0	0x00020176		458872
193	0xF25C8	0x000201A0		262144
194	0xF25D0	0x000203D8		65656
195	0xF25D8	0x01E00003		1
196	0xF25E0	0x04780009		0
197	0xF25E8	0x01F0000A		1
198	0xF25F0	0x0488000B		0
199	0xF25F8	0x0200000C		1
200	0xF2600	0x0498000D		0
201	0xF2608	0x0210000E		1
202	0xF2610	0x04C00010		0
203	0xF2618	0x0098000E		1
204	0xF2620	0x01D8001C		0
205	0xF2628	0x00F80020		1
206	0xF2630	0x023C0024		0
207	0xF2638	0x00E30025		1
208	0xF2640	0x0002008A		327800
209	0xF2648	0x00020048		262264
210	0xF2650	0x00F80001		1
211	0xF2658	0x01D80005		0
212	0xF2660	0x00980009		1
213	0xF2668	0x04E00028		0
214	0xF2670	0x00800029		1
215	0xF2678	0x04F8002A		0
216	0xF2680	0x0000002F		1
217	0xF2688	0x00F00013		1
218	0xF2690	0x04E00014		0
219	0xF2698	0x00D80015		1
220	0xF26A0	0x04D00016		0
221	0xF26A8	0x009C0018		1
222	0xF26B0	0x00020118		196728
223	0xF26B8	0x000200F8		131192
224	0xF26C0	0x00D80002		1
225	0xF26C8	0x04E00003		0
226	0xF26D0	0x00F00004		1
227	0xF26D8	0x04EC0005		0
228	0xF26E0	0x02E00019		1
229	0xF26E8	0x0160000E		1
230	0xF26F0	0x01180010		0
231	0xF26F8	0x00020158		196728
232	0xF2700	0x00020118		131192
233	0xF2708	0x00DC0003		0
234	0xF2710	0x01E00008		1
235	0xF2718	0x00800005		1
236	0xF2720	0x04E00006		0
237	0xF2728	0x00980007		1
238	0xF2730	0x01D80026		0
239	0xF2738	0x00F8002A		1
240	0xF2740	0x023C002E		0
241	0xF2748	0x00E3002F		1
242	0xF2750	0x00400003		0
243	0xF2758	0x01680006		1
244	0xF2760	0x00680008		0
245	0xF2768	0x00E8000D		1
246	0xF2770	0x01000013		0
247	0xF2778	0x00680006		0
248	0xF2780	0x0168000B		1
249	0xF2788	0x0040000D		0
250	0xF2790	0x01180010		1
251	0xF2798	0xFFF00014	0xF7F00014	0
252	0xF27A0	0x00020060		262144
253	0xF27A8	0x00020148		196728
254	0xF27B0	0x00020100		0
255	0xF27B8	0x00020098		262264
256	0xF27C0	0x0002006C		393336
257	0xF27C8	0x00020080		196728
258	0xF27D0	0x0002004C		458872
259	0xF27D8	0x00020070		131192
260	0xF27E0	0x01540004		0
261	0xF27E8	0x0000000A		1
262	0xF27F0	0x00910006		1
263	0xF27F8	0x00E4000A		0
264	0xF2800	0x5F646162	0x57646162	1869376609
265	0xF2808	0x00000063		134470757
