map_id	map_id_hex	map_symbol	map_name_cn	entry_rom_offset	packed_img	packed_pal1	packed_pal2	packed_tiles1	packed_tiles2	packed_tiles3	terrain_info	terrain_map	packed_img_rom_offset	packed_pal1_rom_offset	packed_pal2_rom_offset	packed_tiles1_rom_offset	packed_tiles2_rom_offset	packed_tiles3_rom_offset	terrain_info_rom_offset	terrain_map_rom_offset	width	height	is_interior
26	0x01A			0x1062EC	0x08700E10	0x087038D4	0x087038D4	0x086AF7A8	0x086AF974	0x086AFB34	0x081242D4	0x08124314	0x700E10	0x7038D4	0x7038D4	0x6AF7A8	0x6AF974	0x6AFB34	0x1242D4	0x124314	36	42	1
27	0x01B			0x106314	0x08700E10	0x087038D4	0x087038D4	0x08703A14	0x08703B60	0x08703C70	0x081336B4	0x081336E4	0x700E10	0x7038D4	0x7038D4	0x703A14	0x703B60	0x703C70	0x1336B4	0x1336E4	30	28	1
28	0x01C			0x10633C	0x08700E10	0x087038D4	0x087038D4	0x0869B3B8	0x0869B50C	0x0869B65C	0x0811E968	0x0811E998	0x700E10	0x7038D4	0x7038D4	0x69B3B8	0x69B50C	0x69B65C	0x11E968	0x11E998	30	28	1
29	0x01D	MAP_PLAYER_HOUSE	玩家房屋	0x106364	0x086B3180	0x086B697C	0x086B697C	0x086B24F0	0x086B2840	0x086B2A24	0x08125BC8	0x08125C00	0x6B3180	0x6B697C	0x6B697C	0x6B24F0	0x6B2840	0x6B2A24	0x125BC8	0x125C00	46	42	1
30	0x01E			0x10638C	0x086B3180	0x086B697C	0x086B697C	0x086B2B9C	0x086B2DE8	0x086B3034	0x081263B4	0x081263E4	0x6B3180	0x6B697C	0x6B697C	0x6B2B9C	0x6B2DE8	0x6B3034	0x1263B4	0x1263E4	46	42	1
31	0x01F			0x1063B4	0x086B3180	0x086B697C	0x086B697C	0x08695CB0	0x08695FD0	0x086960D4	0x0811E1B4	0x0811E1DC	0x6B3180	0x6B697C	0x6B697C	0x695CB0	0x695FD0	0x6960D4	0x11E1B4	0x11E1DC	46	42	1
32	0x020			0x1063DC	0x086BDE04	0x086C0ADC	0x086C0ADC	0x086BD840	0x086BD9BC	0x086BDAAC	0x08128A00	0x08128A34	0x6BDE04	0x6C0ADC	0x6C0ADC	0x6BD840	0x6BD9BC	0x6BDAAC	0x128A00	0x128A34	30	28	1
33	0x021			0x106404	0x086BDE04	0x086C0ADC	0x086C0ADC	0x086BDB8C	0x086BDC80	0x086BDD80	0x08128D7C	0x08128DB8	0x6BDE04	0x6C0ADC	0x6C0ADC	0x6BDB8C	0x6BDC80	0x6BDD80	0x128D7C	0x128DB8	30	28	1
34	0x022			0x10642C	0x086BDE04	0x086C0ADC	0x086C0ADC	0x086BD110	0x086BD2C8	0x086BD3C8	0x08128320	0x08128348	0x6BDE04	0x6C0ADC	0x6C0ADC	0x6BD110	0x6BD2C8	0x6BD3C8	0x128320	0x128348	30	28	1
35	0x023			0x106454	0x086BDE04	0x086C0ADC	0x086C0ADC	0x086BD4E8	0x086BD680	0x086BD798	0x08128690	0x081286B8	0x6BDE04	0x6C0ADC	0x6C0ADC	0x6BD4E8	0x6BD680	0x6BD798	0x128690	0x1286B8	30	28	1
36	0x024			0x10647C	0x086913D4	0x08692C8C	0x08692C8C	0x086B1E64	0x086B20D8	0x086B2168	0x081254E8	0x08125514	0x6913D4	0x692C8C	0x692C8C	0x6B1E64	0x6B20D8	0x6B2168	0x1254E8	0x125514	30	28	1
37	0x025			0x1064A4	0x086913D4	0x08692C8C	0x08692C8C	0x086B1A28	0x086B1D10	0x086B1DC4	0x0812500C	0x08125050	0x6913D4	0x692C8C	0x692C8C	0x6B1A28	0x6B1D10	0x6B1DC4	0x12500C	0x125050	42	28	1
38	0x026			0x1064CC	0x086913D4	0x08692C8C	0x08692C8C	0x08704424	0x087047BC	0x08704898	0x08134558	0x08134594	0x6913D4	0x692C8C	0x692C8C	0x704424	0x7047BC	0x704898	0x134558	0x134594	46	36	1
39	0x027			0x1064F4	0x086913D4	0x08692C8C	0x08692C8C	0x08703D48	0x0870420C	0x08704328	0x08133A44	0x08133AA8	0x6913D4	0x692C8C	0x692C8C	0x703D48	0x70420C	0x704328	0x133A44	0x133AA8	76	36	1
40	0x028			0x10651C	0x086913D4	0x08692C8C	0x08692C8C	0x0868A250	0x0868A45C	0x0868A5B4	0x0811BE4C	0x0811BE6C	0x6913D4	0x692C8C	0x692C8C	0x68A250	0x68A45C	0x68A5B4	0x11BE4C	0x11BE6C	30	28	1
41	0x029			0x106544	0x086C2630	0x086C4D68	0x086C4D68	0x086C54E4	0x086C5630	0x086C5718	0x0812A5C8	0x0812A5F8	0x6C2630	0x6C4D68	0x6C4D68	0x6C54E4	0x6C5630	0x6C5718	0x12A5C8	0x12A5F8	30	28	1
42	0x02A			0x10656C	0x086C2630	0x086C4D68	0x086C4D68	0x086C51C4	0x086C5324	0x086C5424	0x08129FAC	0x08129FE0	0x6C2630	0x6C4D68	0x6C4D68	0x6C51C4	0x6C5324	0x6C5424	0x129FAC	0x129FE0	45	28	1
43	0x02B			0x106594	0x086C2630	0x086C4D68	0x086C4D68	0x086C4E70	0x086C4FF4	0x086C50F8	0x081298F4	0x08129928	0x6C2630	0x6C4D68	0x6C4D68	0x6C4E70	0x6C4FF4	0x6C50F8	0x1298F4	0x129928	59	28	1
44	0x02C			0x1065BC	0x08693630	0x08695BA8	0x08695BA8	0x08692DB0	0x08693004	0x08693138	0x0811DA98	0x0811DACC	0x693630	0x695BA8	0x695BA8	0x692DB0	0x693004	0x693138	0x11DA98	0x11DACC	30	28	1
45	0x02D			0x1065E4	0x08693630	0x08695BA8	0x08695BA8	0x0869320C	0x0869342C	0x086935A0	0x0811DE14	0x0811DE44	0x693630	0x695BA8	0x695BA8	0x69320C	0x69342C	0x6935A0	0x11DE14	0x11DE44	30	28	1
46	0x02E			0x10660C	0x0871B474	0x0871D3F4	0x0871D3F4	0x0871ABC8	0x0871AE2C	0x0871AF84	0x0813939C	0x081393D4	0x71B474	0x71D3F4	0x71D3F4	0x71ABC8	0x71AE2C	0x71AF84	0x13939C	0x1393D4	30	28	1
47	0x02F			0x106634	0x0871B474	0x0871D3F4	0x0871D3F4	0x0871B088	0x0871B2AC	0x0871B3D4	0x0813971C	0x08139740	0x71B474	0x71D3F4	0x71D3F4	0x71B088	0x71B2AC	0x71B3D4	0x13971C	0x139740	30	28	1
48	0x030			0x10665C	0x087180E0	0x0871AAD8	0x0871AAD8	0x08704978	0x08704B6C	0x08704C54	0x08134C38	0x08134C68	0x7180E0	0x71AAD8	0x71AAD8	0x704978	0x704B6C	0x704C54	0x134C38	0x134C68	30	28	1
49	0x031			0x106684	0x087180E0	0x0871AAD8	0x0871AAD8	0x08717CF0	0x08717E64	0x08718008	0x08139024	0x08139054	0x7180E0	0x71AAD8	0x71AAD8	0x717CF0	0x717E64	0x718008	0x139024	0x139054	30	28	1
50	0x032			0x1066AC	0x086BB59C	0x086BCFFC	0x086BCFFC	0x086C2250	0x086C2414	0x086C2578	0x08129470	0x0812949C	0x6BB59C	0x6BCFFC	0x6BCFFC	0x6C2250	0x6C2414	0x6C2578	0x129470	0x12949C	30	28	1
51	0x033			0x1066D4	0x086BB59C	0x086BCFFC	0x086BCFFC	0x086AF32C	0x086AF520	0x086AF6DC	0x08123F5C	0x08123F8C	0x6BB59C	0x6BCFFC	0x6BCFFC	0x6AF32C	0x6AF520	0x6AF6DC	0x123F5C	0x123F8C	30	28	1
52	0x034			0x1066FC	0x086C0C48	0x086C1D44	0x086C1D44	0x086C1E48	0x086C1FF0	0x086C2158	0x08129100	0x08129128	0x6C0C48	0x6C1D44	0x6C1D44	0x6C1E48	0x6C1FF0	0x6C2158	0x129100	0x129128	30	28	1
53	0x035			0x106724	0x086961C0	0x086977C8	0x086977C8	0x086B21FC	0x086B2380	0x086B246C	0x0812585C	0x08125880	0x6961C0	0x6977C8	0x6977C8	0x6B21FC	0x6B2380	0x6B246C	0x12585C	0x125880	30	28	1
54	0x036			0x10674C	0x086961C0	0x086977C8	0x086977C8	0x08700AE0	0x08700C6C	0x08700D84	0x08133344	0x0813336C	0x6961C0	0x6977C8	0x6977C8	0x700AE0	0x700C6C	0x700D84	0x133344	0x13336C	30	28	1
55	0x037			0x106774	0x086961C0	0x086977C8	0x086977C8	0x0871714C	0x08717304	0x08717434	0x08138A4C	0x08138A7C	0x6961C0	0x6977C8	0x6977C8	0x71714C	0x717304	0x717434	0x138A4C	0x138A7C	30	28	1
56	0x038			0x10679C	0x086DAFCC	0x086DBD84	0x086DBD84	0x086DBE24	0x086DBEBC	0x086DBEC8	0x0812F9A4	0x0812F9B0	0x6DAFCC	0x6DBD84	0x6DBD84	0x6DBE24	0x6DBEBC	0x6DBEC8	0x12F9A4	0x12F9B0	30	26	1
57	0x039			0x1067C4	0x086DAFCC	0x086DBD84	0x086DBD84	0x086DBF74	0x086DBFF0	0x086DBFFC	0x0812FCBC	0x0812FCC4	0x6DAFCC	0x6DBD84	0x6DBD84	0x6DBF74	0x6DBFF0	0x6DBFFC	0x12FCBC	0x12FCC4	60	70	1
58	0x03A	MAP_SPRING_MINE	泉水矿洞	0x1067EC	0x086DAFCC	0x086DBD84	0x086DBD84	0x086DC058	0x086DC0E4	0x086DC0F0	0x08130D2C	0x08130D34	0x6DAFCC	0x6DBD84	0x6DBD84	0x6DC058	0x6DC0E4	0x6DC0F0	0x130D2C	0x130D34	30	42	1
59	0x03B			0x106814	0x086DAFCC	0x086DBD84	0x086DBD84	0x086DC150	0x086DC1D0	0x086DC1DC	0x08131220	0x08131228	0x6DAFCC	0x6DBD84	0x6DBD84	0x6DC150	0x6DC1D0	0x6DC1DC	0x131220	0x131228	30	26	1
60	0x03C			0x10683C	0x086DAFCC	0x086DBD84	0x086DBD84	0x086DC238	0x086DC2EC	0x086DC318	0x08131534	0x08131544	0x6DAFCC	0x6DBD84	0x6DBD84	0x6DC238	0x6DC2EC	0x6DC318	0x131534	0x131544	30	20	1
61	0x03D			0x106864	0x086DAFCC	0x086DBD84	0x086DBD84	0x086DC400	0x086DC4C4	0x086DC4D0	0x0813179C	0x081317A8	0x6DAFCC	0x6DBD84	0x6DBD84	0x6DC400	0x6DC4C4	0x6DC4D0	0x13179C	0x1317A8	30	26	1
62	0x03E			0x10688C	0x0869B730	0x0869F2E0	0x0869F2E0	0x087174D4	0x08717568		0x08138DC4	0x08138DCC	0x69B730	0x69F2E0	0x69F2E0	0x7174D4	0x717568		0x138DC4	0x138DCC	30	20	1
63	0x03F			0x1068B4	0x0869B730	0x0869F2E0	0x0869F2E0	0x087175B0	0x087176BC				0x69B730	0x69F2E0	0x69F2E0	0x7175B0	0x7176BC				30	20	1
64	0x040			0x1068DC	0x086913D4	0x08692C8C	0x08692C8C	0x08717730	0x08717954				0x6913D4	0x692C8C	0x692C8C	0x717730	0x717954				30	20	1
65	0x041			0x106904	0x086913D4	0x08692C8C	0x08692C8C	0x08717A40	0x08717C24				0x6913D4	0x692C8C	0x692C8C	0x717A40	0x717C24				30	20	1
